14221;2023-03-05 07:48:56.613000;7;1000;1;1;0.0000;1;None;None;None
14293;2023-03-06 07:19:56.567000;7;1000;1;1;None;1;None;None;None
14293;2023-03-07 13:43:19.723000;7;1000;1;-1;0.0000;1;None;None;None
14293;2023-03-07 13:43:19.723000;None;181;None;1;0.0000;4;None;None;None
14293;2023-03-07 13:43:19.723000;None;None;None;1;0.0000;22;None;None;None
14294;2023-03-06 12:09:26.013000;8;107298;1;1;45800.0000;1;None;None;45800.0000
14294;2023-03-06 12:09:26.013000;8;107228;1;1;0.0000;1;None;None;45800.0000
14294;2023-03-06 12:09:26.013000;None;52;None;1;45800.0000;4;None;None;45800.0000
14294;2023-03-06 12:09:26.013000;None;None;None;1;0.0000;22;None;None;45800.0000
14295;2023-03-06 12:21:12.683000;8;107926;1;1;41800.0000;1;6870.0000;None;74200.0000
14295;2023-03-06 12:21:12.683000;8;107228;1;1;0.0000;1;6870.0000;None;74200.0000
14295;2023-03-06 12:21:12.683000;8;108660;1;1;19800.0000;1;6870.0000;None;74200.0000
14295;2023-03-06 12:21:12.683000;8;107228;1;1;0.0000;1;6870.0000;None;74200.0000
14295;2023-03-06 12:21:12.683000;3;104446;1;1;5800.0000;1;6870.0000;None;74200.0000
14295;2023-03-06 12:21:12.683000;3;201237;1;1;6800.0000;1;6870.0000;None;74200.0000
14295;2023-03-06 12:21:12.683000;None;2;None;1;100000.0000;4;6870.0000;None;74200.0000
14295;2023-03-06 12:21:12.683000;None;None;None;1;0.0000;22;6870.0000;None;74200.0000
14295;2023-03-06 12:21:12.683000;None;2;None;1;-18930.0000;4;6870.0000;None;74200.0000
14295;2023-03-06 12:21:12.683000;3;None;1;1;6800.0000;15;6870.0000;None;74200.0000
14296;2023-03-06 12:24:15.787000;8;103615;1;1;37800.0000;1;14685.0000;None;158600.0000
14296;2023-03-06 12:24:15.787000;8;100953;1;1;44800.0000;1;14685.0000;None;158600.0000
14296;2023-03-06 12:24:15.787000;8;106077;1;1;32800.0000;1;14685.0000;None;158600.0000
14296;2023-03-06 12:24:15.787000;1;101929;1;1;16800.0000;1;14685.0000;None;158600.0000
14296;2023-03-06 12:24:15.787000;3;201304;1;1;6800.0000;1;14685.0000;None;158600.0000
14296;2023-03-06 12:24:15.787000;3;200644;1;1;6800.0000;1;14685.0000;None;158600.0000
14296;2023-03-06 12:24:15.787000;3;102633;1;1;12800.0000;1;14685.0000;None;158600.0000
14296;2023-03-06 12:24:15.787000;None;52;None;1;173285.0000;4;14685.0000;None;158600.0000
14296;2023-03-06 12:24:15.787000;None;None;None;1;0.0000;22;14685.0000;None;158600.0000
14297;2023-03-06 12:26:50.033000;1;109511;1;1;46800.0000;1;8278.0000;None;89400.0000
14297;2023-03-06 12:26:50.033000;8;103615;1;1;37800.0000;1;8278.0000;None;89400.0000
14297;2023-03-06 12:26:50.033000;3;102747;1;1;4800.0000;1;8278.0000;None;89400.0000
14297;2023-03-06 12:26:50.033000;None;52;None;1;97678.0000;4;8278.0000;None;89400.0000
14297;2023-03-06 12:26:50.033000;None;None;None;1;0.0000;22;8278.0000;None;89400.0000
