0024;10;00;M;000030000000000;1325;;100613;2;12037
0024;10;00;M;000270000000000;1325;;105304;1;5370
0024;10;00;M;000030000000000;1325;;100606;5;31481
Concepto;10;00;M;XXXXXXXXXXXXXXX;1325;;200644;4;25185
Concepto;10;00;M;XXXXXXXXXXXXXXX;1325;;109787;3;21667
Concepto;10;00;M;XXXXXXXXXXXXXXX;1325;;201146;6;37778
0024;10;00;M;000270000000000;1325;;105041;2;7037
0024;10;00;M;000270000000000;1325;;104747;1;6296
0024;10;00;M;000270000000000;1325;;102415;3;7778
0024;10;00;M;000270000000000;1325;;100625;3;24444
0024;10;00;M;000030000000000;1325;;100614;3;16111
0024;10;00;M;000030000000000;1325;;100607;1;6296
0024;10;00;M;000030000000000;1325;;102102;1;9074
0024;10;00;M;000270000000000;1325;;106066;1;7222
0024;10;00;M;000030000000000;1325;;100999;1;5370
0024;10;00;M;000030000000000;1325;;101216;1;6296
0024;10;00;M;000030000000000;1325;;102112;1;5370
0024;10;00;M;000270000000000;1325;;104690;2;8889
0024;10;00;M;000270000000000;1325;;102003;1;4444
