Concepto;10;00;M;XXXXXXXXXXXXXXX;1325;;201146;18;113333
Concepto;10;00;M;XXXXXXXXXXXXXXX;1325;;200644;18;113333
0024;10;00;M;000030000000000;1325;;100614;6;32222
Concepto;10;00;M;XXXXXXXXXXXXXXX;1325;;109787;4;28889
0024;10;00;M;000030000000000;1325;;101208;1;11852
0024;10;00;M;000030000000000;1325;;100606;2;12593
0024;10;00;M;000030000000000;1325;;100607;1;6296
0024;10;00;M;000030000000000;1325;;102630;1;8148
0024;10;00;M;000030000000000;1325;;100596;3;16111
0024;10;00;M;000270000000000;1325;;102908;3;15278
0024;10;00;M;000030000000000;1325;;100599;1;4444
0024;10;00;M;000270000000000;1325;;105041;1;3519
0025;10;00;M;000170000000000;1325;;201187;5;50000
0024;10;00;M;000030000000000;1325;;108191;1;0
0024;10;00;M;000270000000000;1325;;104749;2;1852
0024;10;00;M;000030000000000;1325;;107206;1;7222
