0024;10;00;M;000030000000000;1325;;100606;9;56667
Concepto;10;00;M;XXXXXXXXXXXXXXX;1325;;201146;19;119630
0024;10;00;M;000030000000000;1325;;100614;8;42963
0024;10;00;M;000270000000000;1325;;102415;1;2593
0024;10;00;M;000270000000000;1325;;108205;1;5093
0024;10;00;M;000270000000000;1325;;104958;1;8148
0024;10;00;M;000270000000000;1325;;102908;2;10185
0024;10;00;M;000030000000000;1325;;100596;2;10741
Concepto;10;00;M;XXXXXXXXXXXXXXX;1325;;109787;4;28889
Concepto;10;00;M;XXXXXXXXXXXXXXX;1325;;200644;7;44074
0024;10;00;M;000270000000000;1325;;104690;3;13333
0024;10;00;M;000030000000000;1325;;100607;1;6296
0025;10;00;M;000170000000000;1325;;201187;2;20000
0024;10;00;M;000030000000000;1325;;102102;1;9074
0024;10;00;M;000270000000000;1325;;100995;1;10926
0024;10;00;M;000270000000000;1325;;108351;1;22037
0024;10;00;M;000270000000000;1325;;105149;1;0
0024;10;00;M;000030000000000;1325;;102639;1;8148
0025;10;00;M;000170000000000;1325;;101878;1;17407
0024;10;00;M;000270000000000;1325;;100625;1;8148
0024;10;00;M;000030000000000;1325;;102630;1;8148
0024;10;00;M;000030000000000;1325;;102112;2;10741
